"","Taxa","Dominants"
"1","GPID_00049",236577.666667
"2","GPID_00019",284335.666667
"3","GPID_00004",237950
"4","GPID_00036",215721.5
"5","GPID_00012",279960
"6","GPID_00046",260103
"7","GPID_00011",226380
"8","GPID_00060",291690
"9","GPID_00025",144560
"10","GPID_00073",285092
"11","GPID_00006",196837.666667
"12","GPID_00063",259926.666667
"13","GPID_00028",290567
"14","GPID_00037",240874.333333
"15","GPID_00065",270386.666667
"16","GPID_00074",259659.333333
"17","GPID_00070",277744
"18","GPID_00047",307056
"19","GPID_00013",262902
"20","GPID_00045",269372
"21","GPID_00010",287300.666667
"22","GPID_00009",273637.666667
"23","GPID_00007",287181.333333
"24","GPID_00042",236495
"25","GPID_00040",264971.333333
"26","GPID_00039",248346
"27","GPID_00097",293736
"28","GPID_00098",206422.666667
"29","GPID_00080",248037
"30","GPID_00095",289973
"31","GPID_00083",247544.333333
"32","GPID_00096",253878
"33","GPID_00106",266954.666667
"34","GPID_00103",264282.666667
"35","GPID_00094",236533.5
"36","GPID_00109",297678.666667
"37","GPID_00081",227684.333333
"38","GPID_00107",228929
"39","GPID_00102",220331
"40","GPID_00108",238316
"41","GPID_00093",225188.333333
"42","GPID_00092",259369
"43","GPID_00091",223495.333333
"44","GPID_00090",272195.666667
"45","GPID_00111",265437.333333
"46","GPID_00089",243450.333333
"47","GPID_00110",293345.666667
"48","GPID_00088",242315
"49","GPID_00087",267498.333333
"50","GPID_00084",275156.666667
"51","GPID_00105",276266
"52","GPID_00104",308123
"53","GPID_00099",237663
"54","GPID_00017",267138.666667
"55","GPID_00018",273159.333333
"56","GPID_00022",275265.333333
"57","GPID_00002",258705.666667
"58","GPID_00003",263711
"59","GPID_00005",237185.666667
"60","GPID_00008",296924
"61","GPID_00015",223081
"62","GPID_00016",274477.666667
"63","GPID_00023",230297
"64","GPID_00024",228065.666667
"65","GPID_00026",259034.333333
"66","GPID_00027",256621.666667
"67","GPID_00032",259519.75
"68","GPID_00061",285570.666667
"69","GPID_00072",325309.333333
"70","GPID_00053",301955
"71","GPID_00148",272720.333333
"72","GPID_00151",336147.666667
"73","GPID_00154",261228
"74","GPID_00158",249039.666667
"75","GPID_00159",302902.666667
"76","GPID_00162",284048.5
"77","GPID_00163",234904.666667
"78","GPID_00164",219878
"79","GPID_00166",261873.333333
"80","GPID_00167",216593.333333
"81","GPID_00169",279778
"82","GPID_00171",260396.333333
"83","GPID_00172",201416.666667
"84","GPID_00174",266962.666667
"85","GPID_00175",219165.666667
"86","GPID_00176",233180.333333
"87","GPID_00178",267311.666667
"88","GPID_00179",278254
"89","GPID_00180",308818
"90","GPID_00183",284668
"91","GPID_00185",276480
"92","GPID_00188",278971
"93","GPID_00189",220861.5
"94","GPID_00190",290224.666667
"95","GPID_00191",252895.666667
"96","GPID_00193",249191.666667
"97","GPID_00195",217186.666667
"98","GPID_00196",254243
"99","GPID_00197",244992
"100","GPID_00198",235139.666667
"101","GPID_00199",244622
"102","GPID_00200",278964.333333
"103","GPID_00147",296683
"104","GPID_00149",311001.333333
"105","GPID_00153",261513.666667
"106","GPID_00155",267395
"107","GPID_00157",313809
"108","GPID_00134",236274.333333
"109","GPID_00115",264100.333333
"110","GPID_00221",273297.666667
"111","GPID_00213",294700.5
"112","GPID_00211",233149.666667
"113","GPID_00208",257903.333333
"114","GPID_00204",307251.666667
"115","GPID_00216",260963.333333
"116","GPID_00219",291056
"117","GPID_00215",222033
"118","GPID_00220",288860
"119","GPID_00223",257909.333333
"120","GPID_00209",270024.5
"121","GPID_00205",297503.333333
"122","GPID_00222",262006.333333
"123","GPID_00218",343134.5
"124","GPID_00214",268364.666667
"125","GPID_00212",212348.666667
"126","GPID_00122",244651
"127","GPID_00121",293474
"128","GPID_00124",262519.666667
"129","GPID_00114",299126
"130","GPID_00133",298980
"131","GPID_00119",282366
"132","GPID_00117",275685.666667
"133","GPID_00118",236604
"134","GPID_00116",269661.666667
"135","GPID_00112",247915.333333
"136","GPID_00135",254513
"137","GPID_00120",213499.333333
"138","GPID_00123",219708.333333
"139","GPID_00113",297414
"140","GPID_00130",282735
"141","GPID_00136",303174.333333
"142","GPID_00132",276886.333333
"143","GPID_00125",251411.666667
"144","GPID_00126",232063
"145","GPID_00127",211286.333333
"146","GPID_00128",227984.666667
"147","GPID_00129",262586.666667
"148","GPID_00100",261393.666667
"149","GPID_00085",248090
"150","GPID_00021",333694
"151","GPID_00001",258446
"152","GPID_00014",279230.333333
"153","GPID_00029",276465.666667
"154","GPID_00062",264971.5
"155","GPID_00064",255200
"156","GPID_00076",179975
"157","GPID_00082",242627
"158","GPID_00086",287179
"159","GPID_00069",267547.333333
"160","GPID_00020",281767.333333
"161","GPID_00068",275120.333333
"162","GPID_00030",288065
"163","GPID_00077",302157
"164","GPID_00232",278483.333333
"165","GPID_00235",259535
"166","GPID_00228",250156.5
"167","GPID_00225",271303.666667
"168","GPID_00140",265175
"169","GPID_00181",237477.5
"170","GPID_00141",271629.666667
"171","GPID_00201",237970
"172","GPID_00137",229053.666667
"173","GPID_00165",247924.666667
"174","GPID_00139",280843
"175","GPID_00059",311506.666667
"176","GPID_00182",262706
"177","GPID_00142",252038.333333
"178","GPID_00168",279242.666667
"179","GPID_00138",263947
"180","GPID_00051",284780
"181","GPID_00058",244638.666667
"182","GPID_00236",280670.333333
"183","GPID_00146",316006
"184","GPID_00192",274360.666667
"185","GPID_00237",263069.666667
"186","GPID_00052",255257
"187","GPID_00231",223181
"188","GPID_00173",254372.333333
"189","GPID_00194",288715
"190","GPID_00230",255937
"191","GPID_00150",254077.333333
"192","GPID_00234",250772.333333
"193","GPID_00224",184136
"194","GPID_00131",294653.333333
"195","GPID_00207",253979.666667
"196","GPID_00031",232051.5
"197","GPID_00184",236294.666667
"198","GPID_00186",294478.666667
"199","GPID_00187",275306
"200","GPID_00202",294005
"201","GPID_00203",278163.333333
"202","GPID_00143",278883.666667
"203","GPID_00152",202977.666667
"204","GPID_00156",285474
"205","GPID_00160",267955
"206","GPID_00161",247970
"207","GPID_00170",300103.666667
"208","GPID_00177",269082.666667
"209","GPID_00238",218699.666667
"210","GPID_00239",302544.333333
"211","GPID_00240",275780.333333
"212","GPID_00241",260584.5
