"","Taxa","Generalists"
"1","GPID_00049",2689.666667
"2","GPID_00019",3309.333333
"3","GPID_00004",5000.333333
"4","GPID_00036",2010.5
"5","GPID_00012",903.333333
"6","GPID_00046",8002
"7","GPID_00011",5024.666667
"8","GPID_00060",10160
"9","GPID_00025",573.5
"10","GPID_00073",457.333333
"11","GPID_00006",27832.333333
"12","GPID_00063",7381
"13","GPID_00028",1187
"14","GPID_00037",6108.666667
"15","GPID_00065",18680.666667
"16","GPID_00074",9445.333333
"17","GPID_00070",7897
"18","GPID_00047",588.333333
"19","GPID_00013",8074.333333
"20","GPID_00045",5072.666667
"21","GPID_00010",1548.666667
"22","GPID_00009",4861
"23","GPID_00007",4196
"24","GPID_00042",1686
"25","GPID_00040",1185
"26","GPID_00039",4291.666667
"27","GPID_00097",6028.333333
"28","GPID_00098",10287
"29","GPID_00080",2882
"30","GPID_00095",2956
"31","GPID_00083",7846.333333
"32","GPID_00096",6580.333333
"33","GPID_00106",13348
"34","GPID_00103",5286.333333
"35","GPID_00094",6273.5
"36","GPID_00109",8584.333333
"37","GPID_00081",9222.333333
"38","GPID_00107",20547.333333
"39","GPID_00102",2920.333333
"40","GPID_00108",4179
"41","GPID_00093",3351.666667
"42","GPID_00092",2743.5
"43","GPID_00091",5102.666667
"44","GPID_00090",13365.333333
"45","GPID_00111",7417.666667
"46","GPID_00089",3835.666667
"47","GPID_00110",3001.333333
"48","GPID_00088",17809
"49","GPID_00087",2014.333333
"50","GPID_00084",8574.333333
"51","GPID_00105",995
"52","GPID_00104",9995
"53","GPID_00099",15298
"54","GPID_00017",3521.333333
"55","GPID_00018",17081.333333
"56","GPID_00022",11723.666667
"57","GPID_00002",6212.333333
"58","GPID_00003",2972.5
"59","GPID_00005",1458.333333
"60","GPID_00008",7617.25
"61","GPID_00015",1135.333333
"62","GPID_00016",873.333333
"63","GPID_00023",660.5
"64","GPID_00024",16400
"65","GPID_00026",3746.333333
"66","GPID_00027",7735.666667
"67","GPID_00032",2278.75
"68","GPID_00061",5107.666667
"69","GPID_00072",1706
"70","GPID_00053",10307.5
"71","GPID_00148",7367.666667
"72","GPID_00151",2122.333333
"73","GPID_00154",5872.666667
"74","GPID_00158",5897
"75","GPID_00159",3424.333333
"76","GPID_00162",2546
"77","GPID_00163",4692
"78","GPID_00164",6900
"79","GPID_00166",10230.666667
"80","GPID_00167",7613
"81","GPID_00169",4099.666667
"82","GPID_00171",3608
"83","GPID_00172",6180.666667
"84","GPID_00174",1207.333333
"85","GPID_00175",3074.333333
"86","GPID_00176",3448
"87","GPID_00178",39179.333333
"88","GPID_00179",3793
"89","GPID_00180",4265
"90","GPID_00183",527
"91","GPID_00185",1768.5
"92","GPID_00188",3655
"93","GPID_00189",71.5
"94","GPID_00190",4920.333333
"95","GPID_00191",21394.333333
"96","GPID_00193",3980.333333
"97","GPID_00195",7635
"98","GPID_00196",15455.666667
"99","GPID_00197",41816
"100","GPID_00198",26229.666667
"101","GPID_00199",1516.666667
"102","GPID_00200",4184.666667
"103","GPID_00147",3094.666667
"104","GPID_00149",1475
"105","GPID_00153",1748.666667
"106","GPID_00155",4041.333333
"107","GPID_00157",783
"108","GPID_00134",7160.666667
"109","GPID_00115",265
"110","GPID_00221",4123.666667
"111","GPID_00213",2222.5
"112","GPID_00211",5266.333333
"113","GPID_00208",9984
"114","GPID_00204",1890.666667
"115","GPID_00216",12645.666667
"116","GPID_00219",3825
"117","GPID_00215",6080.333333
"118","GPID_00220",2559.666667
"119","GPID_00223",4815.333333
"120","GPID_00209",898.5
"121","GPID_00205",9284.666667
"122","GPID_00222",38870
"123","GPID_00218",4448
"124","GPID_00214",1732.666667
"125","GPID_00212",6259
"126","GPID_00122",4007
"127","GPID_00121",5865.666667
"128","GPID_00124",8381.333333
"129","GPID_00114",2527.333333
"130","GPID_00133",6789.666667
"131","GPID_00119",23811.333333
"132","GPID_00117",6822
"133","GPID_00118",5299
"134","GPID_00116",3322.666667
"135","GPID_00112",6330.333333
"136","GPID_00135",9645
"137","GPID_00120",861.666667
"138","GPID_00123",2094.666667
"139","GPID_00113",12898
"140","GPID_00130",5091.333333
"141","GPID_00136",3598.333333
"142","GPID_00132",6483.333333
"143","GPID_00125",3432
"144","GPID_00126",12417
"145","GPID_00127",9949.666667
"146","GPID_00128",1247
"147","GPID_00129",2789
"148","GPID_00100",2756
"149","GPID_00085",2648
"150","GPID_00021",1737.5
"151","GPID_00001",10275
"152","GPID_00014",2097.333333
"153","GPID_00029",6077.666667
"154","GPID_00062",2077
"155","GPID_00064",1826.5
"156","GPID_00076",731
"157","GPID_00082",9467
"158","GPID_00086",3319.333333
"159","GPID_00069",12561.333333
"160","GPID_00020",2345.333333
"161","GPID_00068",1972.666667
"162","GPID_00030",14517
"163","GPID_00077",126
"164","GPID_00232",1632.333333
"165","GPID_00235",9909.333333
"166","GPID_00228",1128.5
"167","GPID_00225",250.333333
"168","GPID_00140",16672.333333
"169","GPID_00181",12714
"170","GPID_00141",22328.333333
"171","GPID_00201",2083.333333
"172","GPID_00137",4011.333333
"173","GPID_00165",1194
"174","GPID_00139",2010.333333
"175","GPID_00059",3680
"176","GPID_00182",5017.333333
"177","GPID_00142",5397
"178","GPID_00168",4885.666667
"179","GPID_00138",7006.666667
"180","GPID_00051",1614.333333
"181","GPID_00058",13566
"182","GPID_00236",5726.666667
"183","GPID_00146",2666
"184","GPID_00192",1662
"185","GPID_00237",1142.333333
"186","GPID_00052",7412
"187","GPID_00231",10751
"188","GPID_00173",1246.333333
"189","GPID_00194",6694.666667
"190","GPID_00230",5870
"191","GPID_00150",13943
"192","GPID_00234",2940.333333
"193","GPID_00224",3931
"194","GPID_00131",8645.333333
"195","GPID_00207",1263.333333
"196","GPID_00031",5245.5
"197","GPID_00184",3944
"198","GPID_00186",8861.666667
"199","GPID_00187",6394.666667
"200","GPID_00202",2963
"201","GPID_00203",5908.666667
"202","GPID_00143",1371.666667
"203","GPID_00152",7620.333333
"204","GPID_00156",3369.333333
"205","GPID_00160",1111
"206","GPID_00161",16689.666667
"207","GPID_00170",6423.333333
"208","GPID_00177",572.333333
"209","GPID_00238",10365.666667
"210","GPID_00239",1809.666667
"211","GPID_00240",13421
"212","GPID_00241",15557.5
